# Generated by scripts/build_dic_sidecars.py
# Source: /tmp/dectalk-oracle-src/src/dapi/src/dic/Dic_us.txt
# Built form-class mask per dictionary entry: the 29-bit
# Dic_*.txt column plus the homograph-field flags added by
# ``src/dapi/src/dic/dic_comm.c`` (P rows gain
# FC_CHARACTER|FC_HOMOGRAPH, S rows gain FC_HOMOGRAPH),
# matching the masks embedded in the runtime dtalk dictionary.
# Loaded by :func:`dectalk.dic.markers.load_formclass_lexicon`.

'EM 0x00802000
'N 0x00800040
A 0x02800004
A-BOMB 0x00000400
AAMCO 0x00000400
AARHUS 0x00000400
AARON 0x00000400
AARP 0x00000400
ABACK 0x00000002
ABAD 0x00000400
ABALONE 0x00000400
ABATE 0x00020000
ABATTOIR 0x00000400
ABBEY 0x00000400
ABBOT 0x00000400
ABBOTT 0x00000400
ABBREVIATE 0x00020000
ABBY 0x00000400
ABC 0x00000400
ABDEL 0x00000400
ABDELLACK 0x00000400
ABDOMEN 0x00000400
ABDOOL 0x00000400
ABDU 0x00000400
ABDUCT 0x00020000
ABDUL 0x00000400
ABDULLAH 0x00000400
ABDULRAMAN 0x00000400
ABE 0x00000400
ABED 0x00000400
ABEDNEJAD 0x00000400
ABEL 0x00000400
ABELARDO 0x00000400
ABERCROMBIE 0x00000400
ABERDEEN 0x00000400
ABERNATHY 0x00000400
ABERRANT 0x00000001
ABHOR 0x00020000
ABIDE 0x00020000
ABIDJAN 0x00000400
ABIGAIL 0x00000400
ABILENE 0x00000400
ABJECT 0x00000001
ABLATE 0x00020000
ABLE 0x00000001
ABLY 0x00000001
ABNER 0x00000400
ABOARD 0x00801000
ABODE 0x00000400
ABOLISH 0x00020000
ABOMINABLE 0x00000001
ABOMINATE 0x00020000
ABORIGINE 0x00000400
ABOUD 0x00000400
ABOUJAOUDE 0x00000400
ABOUT 0x00C01002
ABOVE 0x00801000
ABOVEGROUND 0x00000001
ABRAHAM 0x00000400
ABRAMS 0x00000400
ABRAMSON 0x00000400
ABRASIVE 0x00000401
ABROAD 0x00000002
ABROGATE 0x00020000
ABSCOND 0x00020000
ABSENT 0x00000001
ABSENTEE 0x00000401
ABSENTMINDED 0x00000001
ABSHIRE 0x00000400
ABSOLUTE 0x00000401
ABSTEMIOUS 0x00000001
ABSTINENCE 0x00000400
ABSTRACT|P 0x82000400
ABSTRACT|S 0x80020000
ABSURD 0x00000001
ABU 0x00000400
ABUNDANT 0x00000001
ABUSE|P 0x82020000
ABUSE|S 0x80000400
ABWEHR 0x00000400
ACADEMY 0x00000400
ACCELERANDO 0x00000002
ACCELERATE 0x00020000
ACCEPT 0x00020000
ACCESS 0x00020400
ACCESSIBLE 0x00000001
ACCIDENT 0x00000400
ACCIDENTAL 0x00000401
ACCLIMATE 0x00020000
ACCLIMATIZATION 0x00000400
ACCLIMATIZE 0x00020000
ACCOLADE 0x00000400
ACCOMODATE 0x00020000
ACCOMPANY 0x00020000
ACCORDING 0x00801000
ACCORDION 0x00000400
ACCOST 0x00020000
ACCOUNT 0x00020400
ACCOUTERMENT 0x00000400
ACCOUTREMENT 0x00000400
ACCRA 0x00000400
ACCUMULATE 0x00020000
ACCUPUNCTURE 0x00000400
ACCURA 0x00000400
ACCURACY 0x00000400
ACCURATE 0x00000001
ACETIC 0x00000001
ACETYLENE 0x00000400
ACEVEDO 0x00000400
ACHE 0x00020400
ACHILLE 0x00000400
ACHILLES 0x00000400
ACHIM 0x00000400
ACIDIC 0x00000001
ACKERMAN 0x00000400
ACKNOWLEDGE 0x00020000
ACKNOWLEDGMENT 0x00000400
ACKROYD 0x00000400
ACME 0x00000400
ACNE 0x00000400
ACORN 0x00000400
ACOSTA 0x00000400
ACOUSTIC 0x00000001
ACOUSTICAL 0x00000001
ACQUIESCE 0x00020000
ACQUISITION 0x00000400
ACQUIT 0x00020000
ACRES 0x00000400
ACRID 0x00000001
ACROSS 0x00801000
ACT 0x00020400
ACTAFED 0x00000400
ACTIFED 0x00000400
ACTINIUM 0x00000400
ACTION 0x00000400
ACTIVATE 0x00020000
ACTIVISM 0x00000400
ACTIVIST 0x00000400
ACTIVITY 0x00000400
ACTON 0x00000400
ACTOR 0x00000400
ACTRESS 0x00000400
